the_geom,COMPLEXID,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.98126110099355 40.66297778240513),0,N,22838,1,10787,1,3026517,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30027201,5131678,PS 107 JOHN W KIMBALL
POINT (-73.97097702512055 40.577582364070835),0,,163016,1,10834,1,3196595,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3249093,PS 100 THE CONEY ISLAND SCHOOL
POINT (-73.99335223030201 40.64078191775807),0,,21258,1,12391,1,3136085,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3178003,PS 131 BROOKLYN
POINT (-73.97489770563556 40.595703326431256),0,,25178,1,14518,10,3192661,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3244125,PS 95 THE GRAVESEND
POINT (-73.9758858272114 40.69851942002188),513,X,30108,1,8053,6,3335142,3,05/14/2009 12:00:00 AM +0000,12/06/2011 12:00:00 AM +0000,8,DoITT,32333851,0,BROOKLYN NAVY YARD - BUILDING 42/46
POINT (-73.9759345884259 40.648998203505876),0,,163576,2,11931,1,3124019,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3164395,PS 130 THE PARKSIDE
POINT (-73.98784660617082 40.6811322737775),0,,22665,,12284,7,3006797,3,05/14/2009 12:00:00 AM +0000,,8,NYPD,,3008571,NYC DEP COLLECTION FACILT
POINT (-73.91753996307584 40.64325009577085),508,X,42562,1,14591,3,3337450,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,7,DCP,38477010,3278308,BROOKLYN TERMINAL MARKET BLDG J
POINT (-73.90810769333766 40.64261933382607),0,N,42850,1,11690,1,3229159,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30016201,5131529,PS 114 RYDER ELEMENTARY
POINT (-73.97668465365808 40.753803296264174),435,,35817,2,1007044,2,1085630,1,08/03/2011 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,13,OTHER,,1030758,METLIFE BUILDING
POINT (-73.97325701514991 40.63230478949177),0,N,26707,1,9398,1,3127692,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30001301,3168631,PS 134
POINT (-73.94589576893382 40.714684450926505),0,,31419,2,10831,1,3068728,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3088974,PS 132 CONSELYEA SCHOOL
POINT (-74.0186468727658 40.62374560126987),0,N,17343,1,11872,1,3150481,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30001601,3194800,PS 127 MCKINLEY PARK
POINT (-74.11839077889084 40.56759203253001),0,,10494,1,1002376,8,0,5,09/07/2010 12:00:00 AM +0000,07/13/2012 12:00:00 AM +0000,4,OTHER,,0,STATEN ISLAND TECHNICAL HS ATHLETIC FIELD
POINT (-73.96585366965614 40.62153521489734),0,,26879,2,11238,10,3171478,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,5131549,PS 99 ISAAC ASIMOV
